case,wind_m_s,tide_amplitude_m,external_low_clock,wind_calm_clock,first_route_clock,route_local_depth_min_clock,route_local_rewet_2cm_clock,simultaneous_parallel_route_loss_clock,first_half_width_collapse_clock,all_segments_closed_clock,parallel_window_h,current_cycle_rising_tide_wind_tilt_overlap_h,max_pre_calm_west_minus_east_head_m,max_pre_calm_surface_head_span_m,max_pre_calm_tilt_energy_j,west_storage_gain_at_calm_m3,sill_flux_at_calm_m3_s,sea_minus_lagoon_head_at_calm_m,cumulative_boundary_inflow_at_calm_m3,post_calm_peak_route_speed_p95_m_s,post_calm_peak_route_speed_max_m_s,post_calm_peak_route_hu_p95_m2_s,post_calm_peak_route_hu_max_m2_s,post_calm_peak_depth_rise_cm_min,post_calm_peak_width_loss_m_min,post_calm_width_loss_fraction,post_calm_complete_lane_drop,rewet_to_route_loss_h,alarm_proxy,tide_phase_status,central_mixed_n_max_safe_by_0530,central_first_entry_clock,central_last_exit_clock
combined_reference,19.0,0.15,03:30,04:30,01:00,05:00,05:30,03:40,05:50,06:10,2.666565111373206,0.5,0.8712119715375233,1.1802798967658612,274039958071.80484,38949815.8702521,-0.00035656898707608426,0.04015214389393573,2515803.684880225,0.12929271430401384,0.14379568598963324,0.033586585185136145,0.04091282849418757,0.10629085644405478,5.000000000000018,1.0,0,-1.833333333333334,noticeable_progressive_return,sensitivity_clock_not_ancient_prediction,21600.0,01:10,05:20
phase_w18.5_low04.5_stop04.0,18.5,0.15,04:30,04:30,01:00,05:10,05:40,03:50,05:50,06:20,2.833333333333334,0.0,0.8302140009991033,1.132633060634229,249571882495.8437,38133086.48710099,-0.010060132271394651,0.08595386379167336,1714906.4260072461,0.12095244482617183,0.13584244592324793,0.029980357427118305,0.03651236142156811,0.09745917898733511,5.499999999999961,1.0,0,-1.8333333333333321,noticeable_progressive_return,sensitivity_clock_not_ancient_prediction,43200.0,01:00,05:30
phase_w19.0_low03.5_stop04.5,19.0,0.15,03:30,05:00,01:00,05:20,06:00,03:40,06:10,06:30,2.666565111373206,1.0,0.8712119715375233,1.1802798967658612,274039958071.80484,37924496.55103949,-0.0004286328017302461,0.03050101712345421,7713027.608763782,0.1331999261882446,0.14686120205988468,0.03547554720392133,0.0429188671352267,0.09850743062686941,4.9999999999999645,1.0,0,-2.333333333333334,noticeable_progressive_return,sensitivity_clock_not_ancient_prediction,32400.0,01:10,05:30
phase_w19.0_low04.5_stop04.0,19.0,0.15,04:30,04:30,01:00,05:10,05:40,04:10,06:00,06:40,3.166666666666666,0.0,0.8650841944459351,1.1784562680998896,270229461217.6322,38993730.68488729,-0.009172709821380385,0.08331240667784845,1677091.0287004348,0.120649412803987,0.136104520297581,0.02923706379421527,0.03606927017432011,0.10014154754389033,5.499999999999961,1.0,0,-1.5,noticeable_progressive_return,sensitivity_clock_not_ancient_prediction,43200.0,01:00,05:30
phase_w19.0_low05.0_stop04.0,19.0,0.15,05:00,04:30,01:00,05:00,05:30,04:00,06:00,06:30,3.0,0.0,0.8681365054757882,1.1795832199050191,271907286604.3704,38926634.24388176,-0.17769000090657303,0.09146850074016177,1221945.982879218,0.12398722544389446,0.13906431058284754,0.030905170130770432,0.03793509244772111,0.10152038695268745,4.500000000000016,1.0,0,-1.5,noticeable_progressive_return,sensitivity_clock_not_ancient_prediction,43200.0,01:00,05:30
phase_w19.5_low04.5_stop04.0,19.5,0.15,04:30,04:30,00:50,05:10,05:40,04:20,06:20,06:50,3.4998319026720033,0.0,0.8997822813017373,1.2235829497702007,291955499097.5183,39899523.0562197,-0.008342292120609029,0.08043309716583319,1638329.4341027979,0.12016576127020273,0.13627787031554808,0.0284154024350766,0.03556459702184073,0.10237385987973951,5.000000000000018,1.0,0,-1.3333333333333321,noticeable_progressive_return,sensitivity_clock_not_ancient_prediction,43200.0,01:00,05:30
