time_h,clock,external_stage_m,lagoon_median_eta_m,route_zone_median_eta_m,sill_flux_m3_s,sea_local_eta_m,inlet_lagoon_eta_m,sea_minus_lagoon_head_m,wind_speed_m_s,wind_stress_pa,external_tide_tendency_m_h,cumulative_boundary_inflow_m3,lagoon_wet_volume_m3,west_zone_volume_m3,middle_zone_volume_m3,east_zone_volume_m3,west_minus_east_eta_m,surface_tilt_rms_m,surface_head_p95_p05_m,surface_tilt_potential_energy_j,lagoon_kinetic_energy_j,active_firm_segments,active_complete_lanes,active_aggregate_width_m,active_width_change_m_min,resolved_route_probe_median_depth_m,resolved_route_probe_max_depth_m,resolved_route_probe_depth_rise_cm_min,resolved_route_probe_speed_p95_m_s,resolved_route_probe_speed_max_m_s,resolved_route_probe_hu_p95_m2_s,resolved_route_probe_hu_max_m2_s,resolved_route_probe_fraction_over_0p10m,route_zone_deep_water_fraction_ge_0p30,west_median_depth_m,east_median_depth_m
0.0,16:00,-0.34987717168254356,-0.34785176047837585,-0.3482492761476528,5.2477974851300154e-05,-0.26119076801159324,-0.3478923115337976,0.08670154352220438,0.0,0.0,-0.0030702887901073606,0.0,508294165.95867354,186809596.46129805,175771238.967961,145713330.52941447,0.0007781186999499257,0.0003717298261214885,0.0010636918387285643,268629.94843939313,368674.9296588451,0,0,0.0,0.0,0.37159743065130496,0.5316525182726736,0.0,0.0021265247074081337,0.002143546549001974,0.0008729420241723211,0.0009231598767630397,1.0,1.0,1.5023557250857231,1.201771355134976
0.16666666666666666,16:10,-0.34985585073791636,-0.34779533489267467,-0.34829666466694664,0.0002902517652074994,-0.2666323803543984,-0.3478360267852869,0.08120364643088851,3.1666666666666665,0.014740833333333331,0.0033259885351461364,-952537.6461820925,508294401.91690266,186802329.37674823,175777669.5898836,145714402.9502708,0.000655157096002168,0.0003425304128232862,0.0009089743833000652,228085.61063633946,783878.8651916524,0,0,0.0,0.0,0.37169723602187144,0.5316477602056807,0.0009980537056647476,0.00919945934462284,0.009505884572099142,0.0033775604951964693,0.0037585268195111823,1.0,1.0,1.5022856759116525,1.201635414328306
0.3333333333333333,16:20,-0.3487698219680704,-0.3477964865214811,-0.34834882667312617,0.00022654014950424732,-0.27202078793826,-0.3477603591654336,0.07573957122717356,6.333333333333333,0.058963333333333326,0.009698635111232813,-1541080.6012464452,508294320.2282668,186834623.78629875,175781975.6749925,145677720.76697552,0.0006185094466385488,0.0010860408489105412,0.002549873809903791,2292935.99864741,66050887.94548199,0,0,0.0,0.0,0.37252848502412794,0.5323065719818227,0.008312490022565067,0.04428048258703044,0.04574168586707909,0.017335442811323418,0.019933428196523374,1.0,1.0,1.5022352930471112,1.199724398401762
0.5,16:30,-0.34662680147700814,-0.3478850694700477,-0.34857643687015416,0.00017870417415266358,-0.2773851689327014,-0.34741550306102664,0.07003033412832527,9.5,0.1326675,0.01600237404943927,-1792513.6305885063,508293003.85698813,187003047.22729954,175782727.79555568,145507228.83413294,0.0011338839500993902,0.004152467686989102,0.011731482096277668,33520627.105872247,666754857.1137353,0,0,0.0,0.0,0.37450182434910684,0.5362093564781824,0.019733393249788952,0.0966423618617879,0.09764545024768082,0.04099085496779193,0.0478654707652207,1.0,1.0,1.502618692067974,1.1919160023877868
0.6666666666666666,16:40,-0.3434420151679906,-0.34801591156519585,-0.3495597664410329,0.00014254595915646486,-0.2826522288669275,-0.3464571184533771,0.06380488958644964,12.666666666666666,0.2581283703703704,0.022192418041545064,-1715617.2573314083,508290050.3709717,187433068.06620732,175777323.46672186,145079658.8380425,0.003854921726774263,0.010833590021471353,0.03491754978906331,228162572.33255258,2862450124.1359906,0,0,0.0,0.0,0.3784930555679814,0.5460265129177326,0.0399123121887457,0.15415600015540523,0.15608841232291287,0.06881509333573974,0.08136931811682992,1.0,1.0,1.5048812869139025,1.1751275407261914
0.8333333333333334,16:50,-0.33923809056532306,-0.34821349726626194,-0.35152289467343634,0.00011493430228638293,-0.2865233003663815,-0.3449091352670649,0.05838583490068339,15.833333333333334,0.4665371383101853,0.028224787568269637,-1258791.1843409734,508285613.2204734,188246973.44435155,175757543.53548723,144281096.24063453,0.009975474931979922,0.022545606223426225,0.07628036105990582,988151300.3700099,8164986272.914051,0,0,0.0,0.0,0.38641928908569173,0.5635189728791582,0.07926233517710321,0.22257124638826883,0.22702439473005012,0.10259571755527701,0.12352219494318208,1.0,0.9644886363636364,1.5106609512142124,1.1473032766144724
1.0,17:00,-0.33404489604851184,-0.34869412219911555,-0.3544711942897686,-0.0020168947394892853,-0.28886046366560164,-0.3433088680701313,0.05444840440452964,19.0,0.7628381250000001,0.034056623368475716,-461296.7692099237,508280751.9865122,189517299.60768068,175710049.2636241,143053403.11520728,0.01968055974408922,0.040093672352951415,0.14089890025415142,3125009094.516316,16926732605.921919,0,0,0.0,0.0,0.3997500818309123,0.589466456008297,0.1333079274522059,0.29424533323748847,0.2972091305159469,0.14093558758063826,0.17234358932141938,1.0,0.9616477272727273,1.5199030830070468,1.1065527466872584
1.1666666666666667,17:10,-0.3278993286410147,-0.34947194255603564,-0.35903540327325234,-0.0646762637784898,-0.2909581374043845,-0.3423722287846346,0.051414091380250104,19.0,0.7628381250000001,0.0396464909490734,561583.3933685363,508277365.95143,191160811.7724441,175624447.1812812,141492106.99770477,0.03270652384620942,0.06097079421455263,0.22211984942081284,7226754742.032271,21343625359.48283,0,0,0.0,0.0,0.4182796951387476,0.6185998468289279,0.18529613307835252,0.3183934897919543,0.3206913960808859,0.16146727839077438,0.19583751123955412,1.0,0.9616477272727273,1.5323379378534618,1.0559646556881863
1.3333333333333333,17:20,-0.32084505186131895,-0.3503549333936702,-0.36548869719073407,-0.1854505472547536,-0.29176235531728795,-0.34195578673341653,0.05019343141612859,19.0,0.7628381250000001,0.04495467497211844,1871093.590841169,508276983.42777306,192901287.34655967,175493503.91731238,139882192.16390094,0.04653508577607268,0.0789817508496874,0.2820864779960789,12126992956.150904,21060828177.64435,0,0,0.0,0.0,0.4341267683330905,0.6371515776767079,0.15847073194342934,0.32628139391507915,0.3314863604490971,0.1696429269950721,0.20378050479647206,1.0,0.9616477272727273,1.5511873210760014,1.012299540417252
1.5,17:30,-0.31293218549888646,-0.35097644451571064,-0.37393488314301004,-0.2875829957503044,-0.29399330733932283,-0.3418887283538332,0.047895421014510386,19.0,0.7628381250000001,0.049943461427519084,3647406.5675396062,508279756.43678415,194656614.8230508,175315654.65766853,138307486.95606467,0.06143824980786128,0.09387422354617171,0.349803205659966,17131379166.942724,20217578468.16565,0,0,0.0,0.0,0.4439356549079554,0.6469075941615947,0.0980888657486489,0.3318930090804452,0.3388416375777153,0.17389243867040266,0.20644308413558843,1.0,0.9616477272727273,1.5787581571785756,0.9786827948624578
1.6666666666666667,17:40,-0.30421694951906764,-0.3514632314573607,-0.38129230832236916,-0.365988952596231,-0.29537565841962116,-0.3422710351512811,0.046895376731659943,19.0,0.7628381250000001,0.05457740558654915,5898460.585268142,508285144.29875785,196415836.5610676,175089362.7869062,136779944.95078412,0.07729781794880874,0.10654416768553142,0.4070698805989744,22067796669.103348,19439997239.054157,0,0,0.0,0.0,0.44841342998420286,0.6502499757701957,0.044777750762474686,0.3340027550978253,0.3428789469638695,0.17601411788155769,0.2056513819205864,1.0,0.9616477272727273,1.608586836103738,0.9519050087302653
1.8333333333333333,17:50,-0.2947612646269974,-0.3518289711731324,-0.38751504728102404,-0.4208522578404623,-0.29717341862551794,-0.34293295632834053,0.045759537702822595,19.0,0.7628381250000001,0.058823583832390045,8499498.27092105,508292467.55329466,198177576.5524454,174817124.46430057,135297766.5365487,0.1020148369328624,0.11776698845605352,0.4549033367554893,26961667616.049576,18783234657.10192,0,0,0.0,0.0,0.44843844916365094,0.6488334882222305,0.0002501917944808254,0.3339741496101492,0.344549470029364,0.17567630098596723,0.20282018589151052,1.0,0.9616477272727273,1.6362563463393367,0.930195589159313
2.0000799690642803,18:00,-0.2846273020511387,-0.35137616781071535,-0.39506814104186583,-0.48857107051400395,-0.3005297049199286,-0.3438333676880888,0.04330366276816022,19.0,0.7628381250000001,0.06265355963440081,11341926.30415832,508301210.59186167,199942058.51377657,174505046.35660344,133854105.72148162,0.13020510821712505,0.12811435860607698,0.4963367254456089,31907679784.08759,18228228370.635696,0,0,0.0,0.0,0.4452273846407353,0.6443521704790361,0.0,0.33294086834606557,0.3448851886170251,0.17384002367208715,0.1992025851726974,1.0,0.9616477272727273,1.6615677827082402,0.912053557216729
2.1666666666666665,18:10,-0.2739020576131655,-0.35111423203106795,-0.40408161528367514,-0.5212743270970086,-0.30291420630056143,-0.34499745397065773,0.0420832476700963,19.0,0.7628381250000001,0.06603493761267079,14395670.24201146,508311204.2410251,201705708.52683088,174160481.78199992,132445013.9321943,0.1591592066871954,0.13794442818984598,0.5337206238132166,36992010712.183266,17747039247.47176,0,0,0.0,0.0,0.4399459811647542,0.6380959773304046,0.0,0.331238395541146,0.3438500141211341,0.1711096938631541,0.19536580627472433,1.0,0.9616477272727273,1.6850282710544242,0.8962453629591101
2.3333333333333335,18:20,-0.26264673765252156,-0.35104303639249534,-0.41398972563362646,-0.5333948998539446,-0.30481270106562475,-0.34646843894652324,0.04165573788089849,19.0,0.7628381250000001,0.06894887734442108,17686295.35395629,508322570.01863736,203469389.70492655,173789375.51182288,131063804.80188794,0.1881332053682413,0.1474952240825494,0.5687253369969334,42291737473.81879,17316698915.82877,0,0,0.0,0.0,0.4334321064809109,0.6308757433312465,0.0,0.32926501593832347,0.34201208107165604,0.16793667531781886,0.19156898567451724,1.0,0.9616477272727273,1.7070837856567787,0.8818362042205512
2.5,18:30,-0.2509463201433024,-0.35093545599927745,-0.4231060845246894,-0.5161158122453177,-0.3063680434508851,-0.34826040169855166,0.04189235824766657,19.0,0.7628381250000001,0.07137294358182887,21223797.764534045,508335506.1248507,205229981.66698703,173397720.2746521,129707804.18321152,0.21680239213028818,0.1568854125422525,0.6013259669938137,47848104703.15659,16920203281.695229,0,0,0.0,0.0,0.42625276345748964,0.6232111904665625,0.0,0.3270421727743711,0.339298043379561,0.16454259045406855,0.18789634137951755,1.0,0.9616477272727273,1.727999628362273,0.8682592678623015
2.6666666666666665,18:40,-0.23888393514695772,-0.35136820811098635,-0.4327635363537005,-0.48495509257907893,-0.30757924727898445,-0.35035686289903634,0.04277761562005189,19.0,0.7628381250000001,0.07328991362535249,24987769.07562374,508350177.0900047,206984867.7980167,172990650.8539986,128374658.43798938,0.24511026882243503,0.1661764833887742,0.6328869483482111,53683242558.91183,16546837316.457117,0,0,0.0,0.0,0.41878137342504523,0.6154174209001952,0.0,0.32471939310281245,0.33603594850389495,0.16110024347321078,0.18439101094392607,1.0,0.9616477272727273,1.7479660459248851,0.8551931029136559
2.8333333333333335,18:50,-0.22654528446046873,-0.35183918594395547,-0.44248583377285267,-0.44697240739620897,-0.30839864294974484,-0.35272525948351696,0.04432661653377212,19.0,0.7628381250000001,0.07468616763301715,28941648.263245627,508366658.87335956,208731463.73438644,172572476.2787376,127062718.86023553,0.2729131047052099,0.1753947465102129,0.6629879718423912,59804349898.73084,16189877452.306498,0,0,0.0,0.0,0.4112379123644161,0.6076661902534255,0.0,0.3223381318795826,0.33237415917763125,0.15768873885874787,0.1810440239645537,1.0,0.9616477272727273,1.767116562968316,0.8424754486528461
3.0,19:00,-0.21401803271537226,-0.35277977689276696,-0.45163990684656974,-0.40656637019267333,-0.30899172777156025,-0.35532965141884865,0.04633792364728839,19.0,0.7628381250000001,0.07555178538775668,33053388.426286962,508384941.1680178,210467427.42410946,172146700.93841973,125770812.80548862,0.3003601995798124,0.18454892280791704,0.6922986075734193,66209855618.7632,15845299448.013819,0,0,0.0,0.0,0.4037474390698873,0.6000399825333749,0.0,0.3198954591312678,0.3283740299943139,0.15433741155450387,0.17783009821843826,1.0,0.9517045454545454,1.785547806543485,0.8300300688956259
